iter	Passed	Remaining
0	181	181271
1	186	92996
2	190	63415
3	194	48444
4	198	39433
5	203	33657
6	208	29637
7	213	26466
8	218	24066
9	224	22201
10	228	20559
11	233	19214
12	237	18023
13	240	16965
14	244	16046
15	249	15323
16	252	14576
17	255	13956
18	261	13503
19	265	13006
20	268	12525
21	271	12056
22	273	11632
23	276	11246
24	279	10884
25	281	10551
26	284	10241
27	286	9948
28	289	9677
29	292	9441
30	294	9212
31	297	8991
32	299	8783
33	302	8587
34	304	8403
35	307	8237
36	311	8098
37	314	7953
38	317	7811
39	319	7673
40	322	7543
41	325	7422
42	328	7303
43	331	7193
44	335	7113
45	338	7016
46	341	6922
47	344	6841
48	348	6762
49	351	6674
50	354	6587
51	357	6509
52	360	6433
53	362	6358
54	365	6281
55	368	6216
56	371	6148
57	374	6081
58	377	6018
59	380	5964
60	383	5908
61	386	5851
62	389	5796
63	393	5747
64	395	5693
65	398	5641
66	401	5587
67	403	5534
68	406	5488
69	409	5438
70	412	5391
71	414	5348
72	417	5299
73	420	5256
74	422	5211
75	424	5166
76	427	5123
77	429	5079
78	432	5036
79	434	4994
80	436	4953
81	439	4917
82	441	4882
83	444	4844
84	446	4809
85	449	4773
86	451	4738
87	453	4702
88	456	4670
89	458	4637
90	460	4604
91	463	4572
92	465	4541
93	468	4511
94	470	4483
95	472	4453
96	475	4425
97	477	4397
98	480	4369
99	482	4341
100	484	4315
101	487	4294
102	490	4271
103	492	4245
104	495	4220
105	497	4195
106	499	4170
107	502	4146
108	505	4135
109	508	4113
110	510	4091
111	513	4070
112	516	4050
113	519	4034
114	521	4013
115	523	3991
116	526	3971
117	528	3951
118	530	3930
119	533	3910
120	535	3892
121	538	3873
122	540	3853
123	543	3837
124	545	3819
125	548	3801
126	551	3791
127	554	3775
128	556	3760
129	559	3742
130	561	3725
131	564	3710
132	566	3693
133	569	3678
134	571	3662
135	573	3645
136	576	3629
137	578	3615
138	581	3600
139	584	3589
140	586	3575
141	589	3561
142	591	3547
143	594	3532
144	596	3519
145	599	3505
146	601	3490
147	604	3477
148	606	3463
149	608	3450
150	611	3437
151	613	3424
152	616	3411
153	618	3399
154	621	3387
155	623	3375
156	626	3365
157	628	3351
158	631	3339
159	633	3327
160	636	3315
161	638	3303
162	641	3292
163	643	3280
164	645	3268
165	648	3257
166	650	3245
167	653	3234
168	655	3223
169	657	3212
170	660	3201
171	662	3191
172	665	3180
173	667	3170
174	670	3160
175	672	3149
176	675	3139
177	677	3128
178	679	3118
179	682	3108
180	684	3098
181	687	3089
182	689	3079
183	692	3069
184	694	3060
185	696	3049
186	699	3040
187	701	3031
188	704	3021
189	706	3012
190	709	3003
191	711	2993
192	713	2983
193	715	2974
194	718	2964
195	720	2955
196	722	2946
197	725	2937
198	727	2928
199	730	2920
200	732	2911
201	735	2905
202	738	2900
203	741	2892
204	743	2884
205	746	2876
206	748	2869
207	751	2861
208	753	2852
209	756	2845
210	758	2837
211	761	2830
212	764	2823
213	766	2816
214	769	2810
215	772	2803
216	775	2796
217	777	2788
218	780	2782
219	782	2774
220	785	2767
221	787	2760
222	789	2752
223	792	2745
224	794	2738
225	797	2730
226	799	2722
227	801	2714
228	803	2706
229	806	2698
230	808	2692
231	811	2685
232	814	2679
233	816	2673
234	819	2668
235	823	2665
236	826	2659
237	828	2653
238	831	2648
239	834	2641
240	836	2635
241	841	2635
242	844	2629
243	847	2624
244	849	2618
245	852	2611
246	856	2610
247	858	2603
248	861	2597
249	863	2591
250	866	2585
251	869	2579
252	872	2574
253	874	2569
254	878	2565
255	880	2559
256	885	2558
257	888	2555
258	891	2551
259	894	2545
260	896	2539
261	899	2533
262	901	2527
263	904	2522
264	907	2517
265	910	2512
266	913	2506
267	915	2500
268	917	2494
269	920	2488
270	922	2482
271	925	2476
272	927	2469
273	929	2463
274	932	2458
275	935	2453
276	938	2448
277	940	2442
278	943	2437
279	945	2431
280	948	2426
281	950	2420
282	953	2414
283	955	2408
284	957	2402
285	960	2397
286	962	2392
287	965	2388
288	968	2383
289	971	2378
290	973	2372
291	976	2366
292	978	2361
293	980	2355
294	983	2350
295	988	2350
296	991	2346
297	993	2341
298	996	2336
299	998	2330
300	1001	2325
301	1003	2320
302	1006	2315
303	1008	2309
304	1011	2305
305	1014	2300
306	1016	2295
307	1019	2291
308	1022	2286
309	1025	2281
310	1027	2277
311	1030	2272
312	1034	2270
313	1036	2265
314	1039	2260
315	1041	2255
316	1044	2250
317	1046	2244
318	1049	2239
319	1051	2235
320	1054	2229
321	1056	2225
322	1059	2220
323	1062	2215
324	1064	2210
325	1067	2206
326	1069	2201
327	1072	2196
328	1074	2191
329	1076	2186
330	1079	2181
331	1081	2176
332	1084	2172
333	1086	2167
334	1089	2162
335	1093	2160
336	1095	2155
337	1097	2150
338	1100	2146
339	1103	2141
340	1105	2136
341	1107	2131
342	1110	2126
343	1112	2122
344	1115	2117
345	1117	2112
346	1120	2108
347	1122	2103
348	1125	2099
349	1128	2095
350	1130	2091
351	1133	2086
352	1136	2082
353	1138	2077
354	1141	2073
355	1143	2068
356	1145	2063
357	1148	2059
358	1151	2055
359	1153	2050
360	1155	2045
361	1158	2041
362	1160	2036
363	1162	2031
364	1165	2027
365	1167	2022
366	1170	2019
367	1173	2014
368	1175	2010
369	1177	2005
370	1180	2001
371	1182	1997
